 N#  STAT PH  dTime W1 W2     dZ    dLa    dLo    Mag SEED_name 
 28 VKOLH  P   0.03  0  1   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 VKOLH  S  -0.38  1  2   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 VLEBE  P  -0.04  0  1   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 VPOTO  P   0.10  0  1   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 VSARA  P  -0.09  0  0   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 28 VSARA  S   0.06  1  2   -4.9    8.6   19.7    2.4 2008-06-01-0505-36S.VNRC__100_MSEED 
 31 VPOTO  P   0.06  1  0  -33.2   16.3   47.0    1.7 2008-06-01-0535-56S.VNRC__100_MSEED 
 31 VSARA  P   0.06  1  0  -33.2   16.3   47.0    1.7 2008-06-01-0535-56S.VNRC__100_MSEED 
 32 VSARA  P  -0.01  0  1  999.0  999.0  999.0  999.0 2008-06-01-0553-09S.VNRC__100_MSEED 
 34 VKOLH  S  -0.15  2  2   -1.3    3.3    1.1    1.6 2008-06-01-0627-33S.VNRC__100_MSEED 
 34 VLEBE  S  -0.03  1  3   -1.3    3.3    1.1    1.6 2008-06-01-0627-33S.VNRC__100_MSEED 
 35 OS01   P  -0.24  0  2   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 OS05   P  -0.74  1  1   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VANGO  P  -0.51  0  1   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VANGO  S   0.25  2  2   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VASAV  S  -0.07  1  2   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VAVUN  P  -0.05  0  0   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VAVUN  S  -0.31  1  3   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VBOKI  S  -0.15  1  2   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VBUTM  P  -0.10  0  1   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VBUTM  S  -0.38  0  2   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VESPI  P   0.00  0  3   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VESPI  S  -0.29  2  3   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VIRHO  P  -0.21  0  2   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VKOLH  P   0.02  0  3   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VKOLH  S  -0.33  1  2   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VLEBE  P  -0.11  0  3   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VLEBE  S  -0.22  1  2   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VNARW  S   0.00  2  3   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VPOTO  P  -0.05  0  3   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VSARA  P   0.04  0  2   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VSARA  S   0.06  1  1   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VTAMB  P  -0.01  0  2   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VTAMB  S  -0.40  0  2   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VTURT  P  -0.02  0  1   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VTURT  S  -0.45  1  2   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
 35 VWUSI  P   0.00  0  1   -4.5    6.5    4.5    3.1 2008-06-01-0630-45S.VNRC__100_MSEED 
